LID,ARTIST,EN_TITLE,KR_TITLE,GENRE,IS_OFFICIAL,URL
361,itzy,that's a no no,,k-pop,0.0,https://youtu.be/Nv88l2vGXzo
362,itzy,you make me,,k-pop,0.0,https://youtu.be/C7CjEje45to
363,itzy,nobody like you,,k-pop,0.0,https://youtu.be/pnIz2RYYYMA
364,everglow,dun dun,,k-pop,0.0,https://youtu.be/XdwW-lQrk8k
365,blackpink,see u later,,k-pop,0.0,https://youtu.be/tVA7xbossy4
366,dreamcatcher,scream,,k-pop,0.0,https://youtu.be/sXByZrZFqsQ
367,iz*one,fiesta,,k-pop,0.0,https://youtu.be/4b9JfAf_bjI
368,kard,red moon,,k-pop,0.0,https://youtu.be/rHyh29ogTsg
369,rocket punch,bouncy,,k-pop,0.0,https://youtu.be/3b9boUz0cB8
370,iKon,dive,,k-pop,0.0,https://youtu.be/EUOPDu4cxjU
371,loona,so what,,k-pop,0.0,https://youtu.be/oZBAcySS33I
372,(g)i-dle,Put It Straight (싫다고 말해) (Nightmare Ver.),,k-pop,0.0,https://youtu.be/YhGzyWCOYtA
373,b.i,one and only,,k-pop,0.0,https://youtu.be/Rgf9ah-b-bM
374,stray kids,mixtape : gone days,,k-pop,0.0,https://youtu.be/V7la6nZd94o
375,red velvet,psycho,,k-pop,0.0,https://youtu.be/ROlPBSSpqu0
376,twice,merry & happy,,k-pop,0.0,https://youtu.be/2VbwUTwFORM
377,loona,heart attack,,k-pop,0.0,https://youtu.be/e0hGF8cb3uE
378,cl,done,,k-pop,0.0,https://youtu.be/fR8PULxMpjI
379,mamamoo,우린 결국 다시 만날 운명이었지 (Destiny),,k-pop,0.0,https://youtu.be/lkQWECcqTSE
380,aoa,come see me,,k-pop,0.0,https://youtu.be/VLggxBLtU1I
381,bvndit,dumb,,k-pop,0.0,https://youtu.be/OBrjak6PFSc
382,iu,bbibbi,,k-pop,0.0,https://youtu.be/Z1o9xJI_l38
383,mamamoo,hip,,k-pop,0.0,https://youtu.be/XGqMYnVJdN0
384,stray kids,astronaut,,k-pop,0.0,https://youtu.be/eE83m8rqEvk
385,hyuna,flower shower,,k-pop,0.0,https://youtu.be/DrNnhzhbG-8
386,got7,you calling my name,"""니가 부르는 나의 이름""",k-pop,0.0,https://youtu.be/9v1dSsP5rGo
387,(g)i-dle,lion,,k-pop,0.0,https://youtu.be/u2ZkMA84yQc
388,txt,Run Away (9와 4분의 3 승강장에서 너를 기다려),,k-pop,0.0,https://youtu.be/cZV0Pq7LIPU
389,txt,Crown (어느날 머리에서 뿔이 자랐다),,k-pop,0.0,https://youtu.be/Fy1fxj9nhpY
390,SuperM,jopping,,k-pop,0.0,https://youtu.be/oQf7H_chNoE
391,girl's generation,Genie (소원을 말해봐),,k-pop,0.0,https://youtu.be/fQ9dXjWgSqk
392,twice,rainbow,,k-pop,0.0,https://youtu.be/FTSFMPR_f0g
393,twice,love foolish,,k-pop,0.0,https://youtu.be/8Vp8jAf79w4
394,twice,trick it,,k-pop,0.0,https://youtu.be/7kVWi0veKgg
395,twice,get loud,,k-pop,0.0,https://youtu.be/Amx2rFGn9u4
396,miss A,hush,,k-pop,0.0,https://youtu.be/3CmUvFkFtqg
397,twice,young & wild,,k-pop,0.0,https://youtu.be/7R9SKJ4ddag
398,bol4,wokraholic,,k-pop,0.0,https://youtu.be/LFwqZn61YtQ
399,itzy,it'z summer,,k-pop,0.0,https://youtu.be/A4I001zUDY0
400,clc,devil,,k-pop,0.0,https://youtu.be/OzBik0EgK7M
401,exo,call me baby,,k-pop,0.0,https://youtu.be/oPl_N_k3JVo
402,exo,overdose (중독),,k-pop,0.0,https://youtu.be/WQHgYEWp1u0
403,exo,growl,,k-pop,0.0,https://youtu.be/mldb1LlAHP8
404,exo,mama,,k-pop,0.0,https://youtu.be/aOyo_Um_2NE
405,GD & Taeyang,good boy,,k-pop,0.0,https://youtu.be/Ng9unnQAa4M
406,NMIXX,dice,,k-pop,0.0,https://www.youtube.com/watch?v=xnStvFL-JAc
407,exo,wolf,,k-pop,0.0,https://youtu.be/haavA_84kZU
408,crayon,bar bar bar,,k-pop,0.0,https://youtu.be/G2LotN35fBs
409,iKon,don't let me know,내가 모르게,k-pop,0.0,https://youtu.be/BYZsEDrWcoc
410,sunmi,lalalay,날라리,k-pop,0.0,https://youtu.be/z-vyXl5CWaQ
411,girl's generation,gee,,k-pop,0.0,https://youtu.be/sGHNd2C3aVE
412,everglow,hush,,k-pop,0.0,https://youtu.be/eIj2Lppxtlw
413,everglow,adios,,k-pop,0.0,https://youtu.be/3fk_GMVc90k
414,bolbbalgan4,galaxy,우주를 줄게,k-pop,0.0,https://youtu.be/8IWgPdhu1_s
415,weki meki,Tiki-Taka (99%),,k-pop,0.0,https://youtu.be/aXxBZYGQMSo
416,rocket punch,bim bam bum,,k-pop,0.0,https://youtu.be/cuFlJGkwEic
417,itzy,want it,,k-pop,0.0,https://youtu.be/U65CuVgGpdY
418,itzy,cherry,,k-pop,0.0,https://youtu.be/mn3YsNvP8gM
419,twice,one in a million,,k-pop,0.0,https://youtu.be/ZuN-r5VVZEY
420,lee hi,my star,,k-pop,0.0,https://youtu.be/63-TxAIEbc8
421,seulgi X sinb X shungha X soyeon,wow thing,,k-pop,0.0,https://youtu.be/s3TFMfrNQF4
422,bobby,I love you,,k-pop,0.0,https://youtu.be/omS0xCeqgwg
423,bol4,to my youth,나의 사춘기에게,k-pop,0.0,https://youtu.be/lI1mdFgXD4k
